hour,hour_invocation,hour_of_day,day_of_week
0,212.51666666666668,0,0
1,148.78333333333333,1,0
2,136.26666666666668,2,0
3,90.06666666666666,3,0
4,70.23333333333333,4,0
5,56.46666666666667,5,0
6,67.96666666666667,6,0
7,94.35,7,0
8,138.21666666666667,8,0
9,162.93333333333334,9,0
10,251.01666666666668,10,0
11,259.73333333333335,11,0
12,268.15,12,0
13,206.75,13,0
14,224.86666666666667,14,0
15,234.78333333333333,15,0
16,276.81666666666666,16,0
17,237.05,17,0
18,263.1166666666667,18,0
19,232.7,19,0
20,242.48333333333332,20,0
21,240.65,21,0
22,196.4,22,0
23,190.95,23,0
24,155.28333333333333,0,1
25,143.21666666666667,1,1
26,103.98333333333333,2,1
27,94.21666666666667,3,1
28,72.15,4,1
29,88.73333333333333,5,1
30,103.88333333333334,6,1
31,130.61666666666667,7,1
32,137.91666666666666,8,1
33,169.31666666666666,9,1
34,196.38333333333333,10,1
35,265.4,11,1
36,229.53333333333333,12,1
37,189.76666666666668,13,1
38,212.68333333333334,14,1
39,224.0,15,1
40,209.66666666666666,16,1
41,231.78333333333333,17,1
42,248.68333333333334,18,1
43,227.05,19,1
44,237.55,20,1
45,202.8,21,1
46,180.1,22,1
47,226.93333333333334,23,1
48,155.76666666666668,0,2
49,128.86666666666667,1,2
50,122.45,2,2
51,84.9,3,2
52,72.2,4,2
53,75.75,5,2
54,86.16666666666667,6,2
55,114.15,7,2
56,142.66666666666666,8,2
57,197.33333333333334,9,2
58,265.6166666666667,10,2
59,303.3666666666667,11,2
60,307.93333333333334,12,2
61,258.8666666666667,13,2
62,254.98333333333332,14,2
63,275.8666666666667,15,2
64,287.03333333333336,16,2
65,331.75,17,2
66,340.6,18,2
67,231.8,19,2
68,248.88333333333333,20,2
69,259.1166666666667,21,2
70,294.45,22,2
71,206.4,23,2
72,172.66666666666666,0,3
73,156.06666666666666,1,3
74,116.71666666666667,2,3
75,101.28333333333333,3,3
76,87.76666666666667,4,3
77,82.56666666666666,5,3
78,83.76666666666667,6,3
79,126.38333333333334,7,3
80,138.41666666666666,8,3
81,185.2,9,3
82,297.0833333333333,10,3
83,325.03333333333336,11,3
84,324.03333333333336,12,3
85,286.43333333333334,13,3
86,273.6,14,3
87,271.1666666666667,15,3
88,289.01666666666665,16,3
89,332.73333333333335,17,3
90,336.55,18,3
91,268.6,19,3
92,255.2,20,3
93,208.05,21,3
94,252.1,22,3
95,278.93333333333334,23,3
96,226.73333333333332,0,4
97,141.31666666666666,1,4
98,115.15,2,4
99,96.13333333333334,3,4
100,74.61666666666666,4,4
101,71.46666666666667,5,4
102,84.26666666666667,6,4
103,104.21666666666667,7,4
104,181.93333333333334,8,4
105,171.98333333333332,9,4
106,333.0,10,4
107,345.35,11,4
108,325.21666666666664,12,4
109,306.0,13,4
110,319.56666666666666,14,4
111,344.35,15,4
112,350.9166666666667,16,4
113,349.23333333333335,17,4
114,343.01666666666665,18,4
115,290.28333333333336,19,4
116,262.6,20,4
117,239.6,21,4
118,269.4166666666667,22,4
119,236.83333333333334,23,4
120,193.31666666666666,0,5
121,178.28333333333333,1,5
122,107.88333333333334,2,5
123,95.8,3,5
124,69.68333333333334,4,5
125,69.93333333333334,5,5
126,95.18333333333334,6,5
127,100.33333333333333,7,5
128,138.08333333333334,8,5
129,181.26666666666668,9,5
